MEMID,CMTTEID,CHAMBER,CMTTEETYPE,NAME,PARTY,STATE,DIST,year
H0MI03126,C00476291,H,P,"AMASH, JUSTIN",REP,MI,3,2018
H0MN04049,C00354688,H,P,"MCCOLLUM, BETTY",DFL,MN,4,2018
H0MO01066,C00346080,H,P,"CLAY, WILLIAM LACY JR",DEM,MO,1,2018
H0MO04086,C00464602,H,P,"HARTZLER, VICKY",REP,MO,4,2018
H0MO06073,C00359034,H,P,"GRAVES, SAMUEL B JR 'SAM'",REP,MO,6,2018
H0MO06073,C00410621,Q,D,"GRAVES, SAMUEL B JR 'SAM'",REP,MO,6,2018
H0MO06073,C00588822,N,J,"GRAVES, SAMUEL B JR 'SAM'",REP,MO,6,2018
H0MO07113,C00460063,H,P,"LONG, BILLY MR.",REP,MO,7,2018
H0MO07113,C00624841,N,J,"LONG, BILLY MR.",,,,2018
H0MS04120,C00477323,H,P,"PALAZZO, STEVEN MCCARTY",REP,MS,4,2018
H0NH02181,,,,"CRAMER, KEVIN MR.",REP,ND,0,2018
H0NH02181,C00526210,N,J,"KUSTER, ANN MCLANE",,,,2018
H0NH02181,C00462861,H,P,"KUSTER, ANN MCLANE",DEM,NH,2,2018
H0NH02181,C00490458,N,J,"KUSTER, ANN MCLANE",,,,2018
H0NY18065,C00240986,H,P,"SERRANO, JOSE E.",DEM,NY,15,2018
H0NY29054,C00464032,H,P,"REED, THOMAS W",REP,NY,23,2018
H0OH06189,C00476820,H,P,"JOHNSON, BILL",REP,OH,6,2018
H0OH12062,C00347492,H,P,"TIBERI, PATRICK J.",REP,OH,12,2018
H0OH16097,C00528851,H,J,"RENACCI, JAMES B.",,,,2018
H0OH16097,C00615393,N,U,"RENACCI, JAMES B.",REP,OH,16,2018
H0OH18077,C00493783,H,J,"GIBBS, ROBERT",REP,OH,7,2018
H0OH18077,C00466516,H,P,"GIBBS, ROBERT",REP,OH,7,2018
H0PA03271,C00474189,H,P,"KELLY, GEORGE J JR",REP,PA,16,2018
H0PA03271,C00578716,H,J,"KELLY, GEORGE J JR",REP,PA,16,2018
H0PA04220,C00467530,H,A,"ROTHFUS, KEITH MR.",REP,PA,17,2018
H0PA04220,C00497115,H,P,"ROTHFUS, KEITH MR.",REP,PA,17,2018
H0PA04220,C00608885,N,J,"ROTHFUS, KEITH MR.",REP,PA,17,2018
H0PA06076,C00554899,H,P,"COSTELLO, RYAN A",REP,PA,6,2018
H0PA07082,C00466870,H,P,"MEEHAN, PATRICK L. MR",REP,PA,7,2018
H0PA10078,C00475145,H,A,"MARINO, THOMAS ANTHONY",REP,PA,12,2018
H0RI01073,C00476564,H,P,"CICILLINE, DAVID N",DEM,RI,1,2018
H0RI02139,C00344697,H,P,"LANGEVIN, JAMES R. HONORABLE",DEM,RI,2,2018
H0SC03077,C00460550,H,P,"DUNCAN, JEFFREY D MR.",REP,SC,3,2018
H0SC04257,C00462523,H,P,"GOWDY, TREY",REP,SC,4,2018
H0SC05031,C00471292,H,P,"MULVANEY, JOHN MICHAEL 'MICK'",REP,SC,5,2018
H0SD00054,C00476853,H,P,"NOEM, KRISTI LYNN",REP,SD,0,2018
H0TN03254,C00461822,H,P,"FLEISCHMANN, CHARLES J",REP,TN,3,2018
H0TN04195,C00464073,H,P,"DESJARLAIS, SCOTT HON.",REP,TN,4,2018
H0TN04195,C00493783,H,J,"DESJARLAIS, SCOTT HON.",REP,TN,4,2018
H0TN06257,C00472878,H,P,"BLACK, DIANE L MRS.",REP,TN,6,2018
H0TX07055,C00343236,H,P,"CULBERSON, JOHN",REP,TX,7,2018
H0TX17104,C00472241,H,P,"FLORES, BILL",REP,TX,17,2018
H0TX23086,C00545467,H,P,"HURD, WILLIAM",REP,TX,23,2018
H0TX23086,C00573477,H,J,"HURD, WILLIAM",REP,TX,23,2018
H0TX27061,C00473736,H,P,"FARENTHOLD, RANDOLPH BLAKE",REP,TX,27,2018
H0TX27061,C00563676,N,J,"FARENTHOLD, RANDOLPH BLAKE",REP,TX,27,2018
H0VA02118,C00608703,H,P,"TAYLOR, SCOTT W. MR.",REP,VA,2,2018
H0VA09055,C00477240,H,P,"GRIFFITH, H MORGAN",REP,VA,9,2018
H0VA09055,C00624841,N,J,"GRIFFITH, H MORGAN",REP,VA,9,2018
H0WA02080,C00345546,H,P,"LARSEN, RICK",DEM,WA,2,2018
H0WA03161,C00472159,H,P,"HECK, DENNIS",DEM,WA,10,2018
H0WA03187,C00472704,H,P,"HERRERA BEUTLER, JAIME",REP,WA,3,2018
H0WA08046,C00459099,H,P,"DELBENE, SUZAN K",DEM,WA,1,2018
H0WA08046,C00610709,H,J,"DELBENE, SUZAN K",DEM,WA,1,2018
H0WI07051,C00544312,N,J,"DUFFY, SEAN",REP,WI,7,2018
H0WI07051,C00464339,H,P,"DUFFY, SEAN",REP,WI,7,2018
H0WV01072,C00473132,H,P,"MCKINLEY, DAVID B. MR.",REP,WV,1,2018
H2AL03032,C00610055,N,J,"ROGERS, MICHAEL",REP,AL,3,2018
H2AL03032,C00367862,H,P,"ROGERS, MICHAEL",REP,AL,3,2018
H2AZ07070,C00374058,H,P,"GRIJALVA, RAUL M",DEM,AZ,3,2018
H2AZ08102,C00573477,H,J,"MCSALLY, MARTHA",REP,AZ,2,2018
H2AZ08102,C00573469,H,J,"MCSALLY, MARTHA",REP,AZ,2,2018
H2AZ08102,C00567677,H,J,"MCSALLY, MARTHA",REP,AZ,2,2018
H2AZ08102,C00512236,H,P,"MCSALLY, MARTHA",REP,AZ,2,2018
H2AZ09019,C00610709,H,J,"SINEMA, KYRSTEN",DEM,AZ,9,2018
H2CA00104,C00498212,H,P,"LOWENTHAL, ALAN",DEM,CA,47,2018
H2CA00120,C00528547,N,J,"BROWNLEY, JULIA",DEM,CA,26,2018
H2CA00120,C00513077,H,P,"BROWNLEY, JULIA",DEM,CA,26,2018
H2CA02142,C00509422,H,P,"LAMALFA, DOUG",REP,CA,1,2018
H2CA06259,C00536680,H,P,"HUFFMAN, JARED",DEM,CA,2,2018
H2CA08164,C00512202,H,P,"COOK, PAUL",REP,CA,8,2018
H2CA15094,C00502294,H,P,"SWALWELL, ERIC MICHAEL",DEM,CA,15,2018
H2CA20094,C00499392,H,A,"VALADAO, DAVID",REP,CA,21,2018
H2CA20094,C00562975,N,J,"VALADAO, DAVID",REP,CA,21,2018
H2CA20094,C00573477,H,J,"VALADAO, DAVID",REP,CA,21,2018
H2CA28113,C00498873,H,P,"CARDENAS, TONY",DEM,CA,29,2018
H2CA30143,C00596932,N,J,"BECERRA, XAVIER",DEM,CA,34,2018
H2CA30143,C00264101,H,P,"BECERRA, XAVIER",DEM,CA,34,2018
H2CA31125,C00510461,H,P,"AGUILAR, PETE",DEM,CA,31,2018
H2CA31125,C00561761,N,J,"AGUILAR, PETE",DEM,CA,31,2018
H2CA33048,C00259143,H,P,"ROYBAL-ALLARD, LUCILLE",DEM,CA,40,2018
H2CA36439,C00502575,H,P,"RUIZ, RAUL DR",DEM,CA,36,2018
H2CA36439,C00525402,N,J,"RUIZ, RAUL DR",DEM,CA,36,2018
H2CA37023,C00257337,H,P,"CALVERT, KENNETH S",REP,CA,42,2018
H2CA39078,C00384057,H,P,"SANCHEZ, LINDA",DEM,CA,38,2018
H2CA43245,C00498667,H,P,"TAKANO, MARK",DEM,CA,41,2018
H2CA50026,C00497321,H,P,"VARGAS, JUAN CARLOS",DEM,CA,51,2018
H2CA52089,C00503110,H,P,"PETERS, SCOTT",DEM,CA,52,2018
H2CA52089,C00554089,N,J,"PETERS, SCOTT",DEM,CA,52,2018
H2CT02112,C00410233,H,P,"COURTNEY, JOSEPH D",DEM,CT,2,2018
H2CT05131,C00494203,H,P,"ESTY, ELIZABETH",DEM,CT,5,2018
H2CT05131,C00529784,N,J,"ESTY, ELIZABETH",DEM,CT,5,2018
H2FL00292,C00511568,H,P,"DESANTIS, RONALD D.",REP,FL,6,2018
H2FL06109,C00494583,H,P,"YOHO, THEODORE SCOTT",REP,FL,3,2018
H2FL08063,C00590489,H,P,"DEMINGS, VALDEZ VAL",DEM,FL,10,2018
H2FL14053,C00494856,H,P,"FRANKEL, LOIS J.",DEM,FL,21,2018
H2FL23021,C00269837,H,P,"HASTINGS, ALCEE L",DEM,FL,20,2018
H2FL25018,C00376087,H,P,"DIAZ-BALART, MARIO",REP,FL,25,2018
H2GA02031,C00266940,H,P,"BISHOP, SANFORD D",DEM,GA,2,2018
H2GA09150,C00502039,H,P,"COLLINS, DOUGLAS ALLEN",REP,GA,9,2018
H2GA12121,C00504019,H,P,"ALLEN, RICHARD W",REP,GA,12,2018
H2GA13012,C00369801,H,P,"SCOTT, DAVID ALBERT",DEM,GA,13,2018
H2GU00033,C00369686,H,P,"BORDALLO, MADELEINE Z. MS.",DEM,GU,0,2018
H2HI02110,C00468413,H,P,"HANABUSA, COLLEEN W.",DEM,HI,1,2018
H2HI02508,C00555078,N,J,"GABBARD, TULSI",DEM,HI,2,2018
H2HI02508,C00497396,H,P,"GABBARD, TULSI",DEM,HI,2,2018
H2IA01055,C00543926,H,P,"BLUM, RODNEY",REP,IA,1,2018
H2IA05072,C00373563,H,P,"KING, STEVE MR.",REP,IA,4,2018
H2IL01042,C00257121,H,P,"RUSH, BOBBY LEE",DEM,IL,1,2018
H2IL02172,C00539866,H,P,"KELLY, ROBIN",DEM,IL,2,2018
H2IL08039,C00254581,H,P,"GUTIERREZ, LUIS V",DEM,IL,4,2018
H2IL10068,C00495952,H,P,"SCHNEIDER, BRADLEY SCOTT",DEM,IL,10,2018
H2IL13120,C00521948,H,P,"DAVIS, RODNEY L",REP,IL,13,2018
H2IL17071,C00498568,H,P,"BUSTOS, CHERI",DEM,IL,17,2018
H2IL20042,C00258855,H,P,"SHIMKUS, JOHN M",REP,IL,15,2018
H2IN05082,C00547430,H,J,"BROOKS, SUSAN MRS.",REP,IN,5,2018
H2IN05082,C00624841,N,J,"BROOKS, SUSAN MRS.",REP,IN,5,2018
H2IN05082,C00500207,H,P,"BROOKS, SUSAN MRS.",REP,IN,5,2018
H2KY04121,C00509729,H,P,"MASSIE, THOMAS H.",REP,KY,4,2018
H2MA04073,C00512970,H,P,"KENNEDY, JOSEPH P III",DEM,MA,4,2018
H2MA09072,C00366948,H,P,"LYNCH, STEPHEN",DEM,MA,8,2018
H2MD02160,C00376673,H,P,"RUPPERSBERGER, C.A. DUTCH",DEM,MD,2,2018
H2MD05155,C00140715,H,P,"HOYER, STENY",DEM,MD,5,2018
H2MD05155,C00513002,N,J,"HOYER, STENY",DEM,MD,5,2018
H2MI05119,,,,"DELANEY, JOHN K",DEM,MD,6,2018
H2MI05119,C00499947,H,P,"KILDEE, DANIEL T.",DEM,MI,5,2018
H2MI14111,C00552588,H,P,"LAWRENCE, BRENDA LULENAR",DEM,MI,14,2018
H2MI17023,C00156612,H,P,"LEVIN, SANDER M MR",DEM,MI,9,2018
H2MN07014,C00253187,H,P,"PETERSON, COLLIN CLARK",DEM,MN,7,2018
H2MN08111,C00499053,H,P,"NOLAN, RICHARD M.",DFL,MN,8,2018
H2MO02102,C00495846,H,P,"WAGNER, ANN L.",REP,MO,2,2018
H2NC01081,C00305052,H,P,"JONES, WALTER B",REP,NC,3,2018
H2NC07096,C00501643,H,P,"ROUZER, DAVID CHESTON",REP,NC,7,2018
H2NC08185,C00504522,H,P,"HUDSON, RICHARD L. JR.",REP,NC,8,2018
H2NC08185,C00548818,N,J,"HUDSON, RICHARD L. JR.",REP,NC,8,2018
H2NC09134,C00514513,H,P,"PITTENGER, ROBERT M THE HONORABLE",REP,NC,9,2018
H2NC09134,C00549477,N,J,"PITTENGER, ROBERT M THE HONORABLE",REP,NC,9,2018
H2NC11080,C00503094,H,P,"MEADOWS, MARK R",REP,NC,11,2018
H2NC13110,C00499236,H,P,"HOLDING, GEORGE E MR.",REP,NC,2,2018
H2NC13110,C00557421,N,J,"HOLDING, GEORGE E MR.",REP,NC,2,2018
H2NC13110,C00573352,H,J,"HOLDING, GEORGE E MR.",REP,NC,2,2018
H2NJ02037,C00269340,H,P,"LOBIONDO, FRANK A.",REP,NJ,2,2018
H2NJ05014,C00591909,N,J,"FRELINGHUYSEN, RODNEY P.",REP,NJ,11,2018
H2NJ05014,C00148684,H,A,"FRELINGHUYSEN, RODNEY P.",REP,NJ,11,2018
H2NJ05014,C00299404,H,P,"FRELINGHUYSEN, RODNEY P.",REP,NJ,11,2018
H2NJ10154,C00519355,H,P,"PAYNE, DONALD M., JR.",DEM,NJ,10,2018
H2NM02126,C00463836,H,P,"PEARCE, STEVAN E.",REP,NM,2,2018
H2NV00050,C00502773,H,P,"KIHUEN, RUBEN",DEM,NV,4,2018
H2NV02395,C00496760,H,P,"AMODEI, MARK EUGENE EUGENE",REP,NV,2,2018
H2NY00010,C00271312,H,P,"VELAZQUEZ, NYDIA M.",DEM,NY,7,2018
H2NY03089,C00272211,H,P,"KING, PETE",REP,NY,2,2018
H2NY06116,C00516666,H,P,"MENG, GRACE",DEM,NY,6,2018
H2NY10092,C00503052,H,P,"JEFFRIES, HAKEEM",DEM,NY,8,2018
H2NY13096,C00593525,H,A,"ESPAILLAT, ADRIANO",DEM,NY,13,2018
H2NY13096,C00518365,H,A,"ESPAILLAT, ADRIANO",DEM,NY,13,2018
H2NY13096,C00635722,H,P,"ESPAILLAT, ADRIANO",DEM,NY,13,2018
H2NY14037,C00273169,H,P,"MALONEY, CAROLYN B.",DEM,NY,12,2018
H2NY17071,C00290825,H,P,"NADLER, JERROLD L.",DEM,NY,10,2018
H2NY22139,C00512426,H,P,"MALONEY, SEAN PATRICK",DEM,NY,18,2018
H2NY22139,C00557280,Q,U,"MALONEY, SEAN PATRICK",DEM,NY,18,2018
H2OH02085,C00497818,H,P,"WENSTRUP, BRAD",REP,OH,2,2018
H2OH03067,C00373001,H,P,"TURNER, MICHAEL R",REP,OH,10,2018
H2OH03125,C00507368,H,P,"BEATTY, JOYCE",DEM,OH,3,2018
H2OH09031,C00154625,H,P,"KAPTUR, MARCY HON. M.C.",DEM,OH,9,2018
H2OH14064,C00527457,H,P,"JOYCE, DAVID P",REP,OH,14,2018
H2OH17109,C00647834,H,P,"RYAN, TIMOTHY J.",DEM,OH,17,2018
H2OH17109,C00373464,H,P,"RYAN, TIMOTHY J.",DEM,OH,17,2018
H2OH17109,C00647826,H,P,"RYAN, TIMOTHY J.",DEM,OH,17,2018
H2OK01143,C00502393,H,P,"BRIDENSTINE, JAMES FREDERICK",REP,OK,1,2018
H2OK02083,C00498345,H,P,"MULLIN, MARKWAYNE MR.",REP,OK,2,2018
H2OK04055,C00379735,H,P,"COLE, TOM",REP,OK,4,2018
H2OK04055,C00438481,N,J,"COLE, TOM",REP,OK,4,2018
H2OR01133,C00500421,H,P,"BONAMICI, SUZANNE MS.",DEM,OR,1,2018
H2PA04135,C00510164,H,P,"PERRY, SCOTT",REP,PA,10,2018
H2PA09035,C00364935,H,P,"SHUSTER, WILLIAM MR.",REP,PA,9,2018
H2PA11098,C00376004,H,A,"BARLETTA, LOU",REP,PA,11,2018
H2PA17079,C00509968,H,P,"CARTWRIGHT, MATT",DEM,PA,8,2018
H2SC02042,C00255562,H,P,"CLYBURN, JAMES E.",DEM,SC,6,2018
H2SC02059,C00368522,H,P,"WILSON, JOE THE HON.",REP,SC,2,2018
H2SC07066,C00506048,H,P,"RICE, TOM",REP,SC,7,2018
H2TN05131,C00376665,H,P,"COOPER, JAMES H.S.",DEM,TN,5,2018
H2TN06030,C00624841,N,J,"BLACKBURN, MARSHA MRS.",REP,TN,7,2018
H2TN07103,C00614826,H,P,"KUSTOFF, DAVID",REP,TN,8,2018
H2TN07103,C00376244,H,A,"KUSTOFF, DAVID",REP,TN,8,2018
H2TX00015,C00254573,H,P,"JOHNSON, EDDIE BERNICE",DEM,TX,30,2018
H2TX03118,C00250720,H,P,"JOHNSON, SAM MR.",REP,TX,3,2018
H2TX03126,C00566786,N,J,"SESSIONS, PETE MR.",REP,TX,32,2018
H2TX03126,C00303305,H,P,"SESSIONS, PETE MR.",REP,TX,32,2018
H2TX05121,C00370650,H,P,"HENSARLING, JEB HON.",REP,TX,5,2018
H2TX05121,C00497669,N,J,"HENSARLING, JEB HON.",REP,TX,5,2018
H2TX14149,C00502229,H,P,"WEBER, RANDY",REP,TX,14,2018
H2TX23082,,,,"O'ROURKE, ROBERT BETO",DEM,TX,16,2018
H2TX23082,C00371302,H,P,"CUELLAR, HENRY R.",DEM,TX,28,2018
H2TX26093,C00372532,H,P,"BURGESS, MICHAEL C. DR.",REP,TX,26,2018
H2TX27190,C00513531,H,P,"VELA, FILEMON",DEM,TX,34,2018
H2TX29030,C00254185,H,P,"GREEN, RAYMOND E. 'GENE'",DEM,TX,29,2018
H2TX31044,C00371203,H,P,"CARTER, JOHN R. REP.",REP,TX,31,2018
H2TX33040,C00498121,H,P,"WILLIAMS, ROGER",REP,TX,25,2018
H2TX33073,C00506832,H,P,"VEASEY, MARC ALLISON MR.",DEM,TX,33,2018
H2TX35011,C00497933,H,P,"CASTRO, JOAQUIN",DEM,TX,20,2018
H2UT01094,C00374231,H,P,"BISHOP, ROBERT",REP,UT,1,2018
H2UT02324,C00506931,H,P,"STEWART, CHRIS",REP,UT,2,2018
H2UT04023,C00505776,H,P,"LOVE, MIA",REP,UT,4,2018
H2UT04023,C00567677,H,J,"LOVE, MIA",REP,UT,4,2018
H2VA06115,C00257956,H,P,"GOODLATTE, ROBERT W.",REP,VA,6,2018
H2VA06115,C00551648,N,J,"GOODLATTE, ROBERT W.",REP,VA,6,2018
H2VI00082,C00528182,H,P,"PLASKETT, STACEY",DEM,VI,0,2018
H2WA06129,C00514893,H,P,"KILMER, DEREK",DEM,WA,6,2018
H2WI02124,C00502179,H,P,"POCAN, MARK",DEM,WI,2,2018
H4AL01123,C00567511,N,J,"BYRNE, BRADLEY ROBERTS",REP,AL,1,2018
H4AL01123,C00545673,H,P,"BYRNE, BRADLEY ROBERTS",REP,AL,1,2018
H4AL06098,C00551374,H,P,"PALMER, GARY",REP,AL,6,2018
H4AR02141,C00551275,H,P,"HILL, JAMES FRENCH",REP,AR,2,2018
H4AR04048,C00548180,H,P,"WESTERMAN, BRUCE",REP,AR,4,2018
H4AS00036,C00393041,H,P,"AMATA, AUMUA",REP,AS,0,2018
H4AZ04024,C00367110,H,P,"FRANKS, TRENT",REP,AZ,8,2018
H4AZ06045,C00540617,H,P,"SCHWEIKERT, DAVID",REP,AZ,6,2018
H4AZ06045,C00558262,N,J,"SCHWEIKERT, DAVID",REP,AZ,6,2018
H4AZ06045,C00440727,H,A,"SCHWEIKERT, DAVID",REP,AZ,6,2018
H4AZ07043,C00558627,H,P,"GALLEGO, RUBEN",DEM,AZ,7,2018
H4CA11081,C00398644,H,P,"MCNERNEY, GERALD MARK",DEM,CA,9,2018
H4CA12055,C00503185,H,P,"KHANNA, ROHIT",DEM,CA,17,2018
H4CA16049,C00289603,H,P,"LOFGREN, ZOE",DEM,CA,19,2018
H4CA20082,C00404350,N,U,"COSTA, JIM",DEM,CA,16,2018
H4CA20082,C00391029,H,P,"COSTA, JIM",DEM,CA,16,2018
H4CA23011,C00167585,H,P,"WATERS, MAXINE",DEM,CA,43,2018
H4CA25123,C00554014,H,A,"KNIGHT, STEVE",REP,CA,25,2018
H4CA25123,C00630319,N,J,"KNIGHT, STEVE",REP,CA,25,2018
H4CA33119,C00556506,H,P,"LIEU, TED",DEM,CA,33,2018
H4CA33119,C00561852,N,J,"LIEU, TED",DEM,CA,33,2018
H4CA35031,C00557652,H,P,"TORRES, NORMA",DEM,CA,35,2018
H4CA45097,C00564674,N,J,"WALTERS, MIMI",REP,CA,45,2018
H4CA45097,C00567677,H,J,"WALTERS, MIMI",REP,CA,45,2018
H4CA45097,C00546853,H,P,"WALTERS, MIMI",REP,CA,45,2018
H4CO04090,C00573378,H,P,"BUCK, KENNETH R",REP,CO,4,2018
H4FL20023,C00385773,H,P,"WASSERMAN SCHULTZ, DEBBIE",DEM,FL,23,2018
H4FL20023,C00545582,N,J,"WASSERMAN SCHULTZ, DEBBIE",DEM,FL,23,2018
H4FL26038,C00546846,H,P,"CURBELO, CARLOS MR.",REP,FL,26,2018
H4FL26038,C00565374,N,J,"CURBELO, CARLOS MR.",REP,FL,26,2018
H4FL26038,C00573477,H,J,"CURBELO, CARLOS MR.",REP,FL,26,2018
H4GA01039,C00543967,H,P,"CARTER, EARL LEROY",REP,GA,1,2018
H4GA06087,C00386755,H,P,"PRICE, THOMAS EDMUNDS",REP,GA,6,2018
H4GA06087,C00459529,N,J,"PRICE, THOMAS EDMUNDS",REP,GA,6,2018
H4GA11061,C00543892,H,P,"LOUDERMILK, BARRY",REP,GA,11,2018
H4IA03115,C00568634,N,J,"YOUNG, DAVID",REP,IA,3,2018
H4IA03115,C00573477,H,J,"YOUNG, DAVID",REP,IA,3,2018
H4IA03115,C00545616,H,P,"YOUNG, DAVID",REP,IA,3,2018
H4IL03077,C00405431,H,P,"LIPINSKI, DANIEL WILLIAM WILLIAM",DEM,IL,3,2018
H4IL07037,C00172619,H,P,"DAVIS, DANNY K",DEM,IL,7,2018
H4IL12060,C00573477,H,J,"BOST, MICHAEL",REP,IL,12,2018
H4IL12060,C00546499,H,P,"BOST, MICHAEL",REP,IL,12,2018
H4IN01012,C00166504,H,P,"VISCLOSKY, PETER J.",DEM,IN,1,2018
H4LA05221,C00563940,H,P,"ABRAHAM, RALPH LEE DR. JR.",REP,LA,5,2018
H4LA06153,C00558486,H,P,"GRAVES, GARRET",REP,LA,6,2018
H4MA03022,C00285171,H,P,"MCGOVERN, JAMES P. MR.",DEM,MA,2,2018
H4MA05084,C00541888,H,P,"CLARK, KATHERINE",DEM,MA,5,2018
H4MA06090,C00547240,H,P,"MOULTON, SETH",DEM,MA,6,2018
H4ME02234,C00518654,H,P,"POLIQUIN, BRUCE L",REP,ME,2,2018
H4ME02234,C00573477,H,J,"POLIQUIN, BRUCE L",REP,ME,2,2018
H4MI04118,C00638833,N,J,"MITCHELL, PAUL III",REP,MI,10,2018
H4MI04118,C00581090,H,P,"MITCHELL, PAUL III",REP,MI,10,2018
H4MI04126,C00561530,H,P,"MOOLENAAR, JOHN MR.",REP,MI,4,2018
H4MI07103,C00390724,H,P,"WALBERG, TIMOTHY L REP",REP,MI,7,2018
H4MI07103,C00577973,N,J,"WALBERG, TIMOTHY L REP",REP,MI,7,2018
H4MI08135,C00561001,H,P,"BISHOP, MIKE",REP,MI,8,2018
H4MI08135,C00584730,N,J,"BISHOP, MIKE",REP,MI,8,2018
H4MI11097,C00548941,H,P,"TROTT, DAVID A",REP,MI,11,2018
H4MI12079,C00558213,H,P,"DINGELL, DEBBIE",DEM,MI,12,2018
H4MN06087,C00573444,N,J,"EMMER, THOMAS EARL JR.",REP,MN,6,2018
